"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-"
"Jordan Binnington","STL","G","1","Maualpha","","27","9","99%","+0.1%"
"Marc-Andre Fleury","VGK","G","2","Maualpha","BOS 4<br/>@VGK 3 F","26.4","6.6","99%","0%"
"Tuukka Rask","BOS","G","3","Morgo","BOS 4<br/>@VGK 3 F","24.5","8.17","98%","+0.2%"
"Brock Nelson","NYI","F","4","Timbo","EDM 5<br/>@NYI 2 F","24.4","8.13","72%","+15.2%"
"Connor McDavid","EDM","F","5","Maualpha","EDM 5<br/>@NYI 2 F","22","7.33","100%","0%"
"Jamie Benn","DAL","F","6","ErikErla","DAL 4<br/>@WSH 3 F","22","7.33","93%","+4.5%"
"David Pastrnak","BOS","F","7","Morgo","BOS 4<br/>@VGK 3 F","21.8","7.27","100%","0%"
"Brad Marchand","BOS","F","8","ErikErla","BOS 4<br/>@VGK 3 F","21.6","7.2","100%","0%"
"Aaron Ekblad","FLA","D","9","Morgo","CAR 6<br/>@FLA 3 F","20.6","6.87","90%","+1.2%"
"Frederik Andersen","TOR","G","10","420","","20.3","6.77","100%","-0.1%"
"Ryan Suter","MIN","D","11","ErikErla","","19.4","6.47","69%","+1.1%"
"Pierre-Luc Dubois","CBJ","F","12","420","","19.2","6.4","89%","+4.1%"
"Tyson Barrie","TOR","D","13","MorganBu","","19","6.33","93%","+4.7%"
"Claude Giroux","PHI","F","14","MorganBu","","19","6.33","98%","-0.1%"
"Jake Guentzel","PIT","F","15","SNYD","WPG 4<br/>@PIT 1 F","18.8","6.27","100%","0%"
"Jacob Trouba","NYR","D","16","evanmann","","18.4","6.13","92%","+0.1%"
"Dougie Hamilton","CAR","D","17","Curt","CAR 6<br/>@FLA 3 F","18.4","6.13","99%","0%"
"Brady Tkachuk","OTT","F","18","The_Face","","18.4","6.13","93%","+0.8%"
"Connor Hellebuyck","WPG","G","19","Timbo","WPG 4<br/>@PIT 1 F","18.3","6.1","99%","+0.3%"
"Andre Burakovsky","COL","F","20","420","","17.6","5.87","76%","+19.3%"
"John Carlson","WSH","D","21","Morgo","DAL 4<br/>@WSH 3 F","17.6","5.87","100%","0%"
"Patrick Kane","CHI","F","22","evanmann","","17.4","4.35","100%","0%"
"Artemi Panarin","NYR","F","23","Maualpha","","17.4","5.8","98%","+0.3%"
"Jacob Markstrom","VAN","G","24","ErikErla","","17.4","5.8","86%","-1.3%"
"Logan Couture","SJ","F","25","The_Face","SJ 2<br/>@NSH 5 F","17.2","5.73","96%","+1.3%"
"Evgeni Malkin","PIT","F","26","evanmann","WPG 4<br/>@PIT 1 F","17","5.67","98%","+0.3%"
"Max Pacioretty","VGK","F","27","MorganBu","BOS 4<br/>@VGK 3 F","17","4.25","96%","+0.1%"
"Quinn Hughes","VAN","D","28","The_Face","","17","5.67","95%","+1.1%"
"Sergei Bobrovsky","FLA","G","29","Curt","CAR 6<br/>@FLA 3 F","16.9","5.63","95%","-0.3%"
"Elias Pettersson","VAN","F","30","Maualpha","","16.8","5.6","100%","0%"
"Brayden Point","TB","F","31","SNYD","","16.6","5.53","99%","-0.5%"
"Victor Hedman","TB","D","32","The_Face","","16.6","5.53","99%","-0.1%"
"Andrei Vasilevskiy","TB","G","33","Curt","","16.2","8.1","100%","-0.1%"
"Zach Werenski","CBJ","D","34","420","","16.2","5.4","91%","+3.7%"
"Jean-Gabriel Pageau","OTT","F","35","SNYD","","16","5.33","75%","+5.6%"
"William Karlsson","VGK","F","36","The_Face","BOS 4<br/>@VGK 3 F","15.8","3.95","97%","+0.4%"
"Patrice Bergeron","BOS","F","37","evanmann","BOS 4<br/>@VGK 3 F","15.8","7.9","100%","-0.1%"
"Ben Bishop","DAL","G","38","MorganBu","DAL 4<br/>@WSH 3 F","15.8","7.9","98%","+0.4%"
"Drew Doughty","LA","D","39","420","LA 4<br/>@CGY 3 F","15.6","5.2","92%","+0.4%"
"Shea Theodore","VGK","D","40","MorganBu","BOS 4<br/>@VGK 3 F","15.4","3.85","82%","+0.1%"
"Anthony Beauvillier","NYI","F","41","Curt","EDM 5<br/>@NYI 2 F","15.4","5.13","53%","+20.2%"
"Cale Makar","COL","D","42","Maualpha","","15.2","5.07","99%","+0.1%"
"Teuvo Teravainen","CAR","F","43","Maualpha","CAR 6<br/>@FLA 3 F","15.2","5.07","99%","+0.6%"
"Miro Heiskanen","DAL","D","44","SNYD","DAL 4<br/>@WSH 3 F","15","5","97%","+1%"
"David Krejci","BOS","F","45","evanmann","BOS 4<br/>@VGK 3 F","15","5","65%","+9%"
"Seth Jones","CBJ","D","46","ErikErla","","14.8","4.93","97%","+0.2%"
"Brock Boeser","VAN","F","47","Maualpha","","14.4","4.8","100%","0%"
"Torey Krug","BOS","D","48","Timbo","BOS 4<br/>@VGK 3 F","14.2","14.2","99%","+0.1%"
"Braden Holtby","WSH","G","49","The_Face","DAL 4<br/>@WSH 3 F","14.1","4.7","99%","0%"
