"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-"
"Zach Werenski","CBJ","D","39","420","BUF 3<br/>@CBJ 4 F","17.2","8.6","88%","0%"
"Anthony Mantha","DET","F","40","evanmann","","17","4.25","99%","0%"
"Carey Price","MON","G","41","420","","16.6","8.3","95%","-0.2%"
"Tomas Tatar","MON","F","42","The_Face","","16.6","5.53","82%","+0.5%"
"Elias Pettersson","VAN","F","43","Maualpha","","16.4","4.1","100%","0%"
"Teuvo Teravainen","CAR","F","44","Maualpha","","16.4","5.47","98%","0%"
"Jean-Gabriel Pageau","OTT","F","45","SNYD","","16.4","4.1","69%","-0.7%"
"Braden Holtby","WSH","G","46","The_Face","","16.3","8.15","99%","0%"
"Steven Stamkos","TB","F","47","MorganBu","","16.2","8.1","100%","0%"
"Roman Josi","NSH","D","48","Timbo","","15.8","7.9","100%","0%"
"John Tavares","TOR","F","49","420","STL 3<br/>@TOR 2 F","15.6","3.9","99%","0%"
"Sean Couturier","PHI","F","50","Curt","","15.6","3.9","96%","-0.2%"
"Dylan Strome","CHI","F","51","MorganBu","","15.6","5.2","81%","-1.4%"
"Joe Pavelski","DAL","F","52","SNYD","","15.6","3.9","81%","-0.3%"
"Tony DeAngelo","NYR","D","53","Timbo","","15.6","3.9","82%","-0.1%"
"Mark Scheifele","WPG","F","54","evanmann","","15.4","3.85","100%","0%"
"Nikita Kucherov","TB","F","55","Morgo","","15.4","7.7","100%","0%"
"Evgeny Kuznetsov","WSH","F","56","SNYD","","14.8","3.7","99%","0%"
"Bryan Rust","PIT","F","57","ErikErla","","14.2","4.73","46%","+1.1%"
"Matt Dumba","MIN","D","58","evanmann","","14.2","4.73","89%","-0.5%"
"Carter Hart","PHI","G","59","ErikErla","","14.1","4.7","94%","-0.8%"
"Connor Hellebuyck","WPG","G","60","Timbo","","13.9","4.63","98%","0%"
"Tyler Bertuzzi","DET","F","61","Morgo","","13.8","3.45","84%","-0.4%"
"Rickard Rakell","ANA","F","62","Curt","","13.8","3.45","89%","-0.4%"
"Evgeni Malkin","PIT","F","63","evanmann","","13.6","4.53","98%","0%"
"Ryan Getzlaf","ANA","F","64","Timbo","","13.6","3.4","80%","-0.6%"
"Petr Mrazek","CAR","G","65","420","","13.4","6.7","95%","0%"
"William Nylander","TOR","F","66","420","STL 3<br/>@TOR 2 F","13.4","3.35","95%","-0.3%"
"Jamie Benn","DAL","F","67","ErikErla","","13.4","3.35","89%","+0.5%"
"Quinn Hughes","VAN","D","68","The_Face","","13.2","3.3","94%","-0.2%"
"Brent Burns","SJ","D","69","ErikErla","","13","4.33","100%","0%"
"Alex Ovechkin","WSH","F","70","SNYD","","12.8","3.2","100%","0%"
"Patrik Laine","WPG","F","71","Maualpha","","12.8","3.2","100%","0%"
"Taylor Hall","NJ","F","72","ErikErla","","12.8","3.2","100%","0%"
"Brock Boeser","VAN","F","73","Maualpha","","12.6","3.15","99%","-0.1%"
"William Karlsson","VGK","F","74","The_Face","","12.4","4.13","97%","+0.1%"
"Brendan Gallagher","MON","F","75","Curt","","12.2","4.07","94%","-0.1%"
"Ryan Strome","NYR","F","76","The_Face","","12.2","3.05","74%","-0.3%"
"Kyle Connor","WPG","F","77","420","","12.2","3.05","92%","-0.5%"
"Jonathan Toews","CHI","F","78","ErikErla","","12","4","74%","-0.9%"
"Clayton Keller","ARI","F","79","Maualpha","","12","3","84%","-1.3%"
"Kyle Palmieri","NJ","F","80","Curt","","11.8","2.95","81%","-1.3%"
"Tom Wilson","WSH","F","81","SNYD","","11.8","2.95","89%","0%"
"Jakob Silfverberg","ANA","F","82","The_Face","","11.8","2.95","66%","-1.3%"
"Timo Meier","SJ","F","83","Morgo","","11.8","3.93","93%","-0.3%"
"Jake Muzzin","TOR","D","84","SNYD","STL 3<br/>@TOR 2 F","11.6","2.9","87%","-0.6%"
"Erik Gustafsson","CHI","D","85","SNYD","","11.6","3.87","77%","-1.3%"
"Nazem Kadri","COL","F","86","420","","11.6","3.87","85%","0%"
"Jonathan Marchessault","VGK","F","87","Morgo","","11.6","3.87","95%","-0.3%"
"Mathew Barzal","NYI","F","88","420","","11.4","5.7","98%","-0.1%"
"Tomas Hertl","SJ","F","89","Maualpha","","11.2","3.73","99%","0%"
"T.J. Oshie","WSH","F","90","MorganBu","","11.2","2.8","91%","-0.3%"
"David Pastrnak","BOS","F","91","Morgo","","11.2","2.8","100%","0%"
"Max Pacioretty","VGK","F","92","MorganBu","","11","3.67","96%","-0.1%"
"Blake Wheeler","WPG","F","93","Curt","","10.6","2.65","97%","-0.4%"
"Dylan Larkin","DET","F","94","Timbo","","10.4","2.6","99%","-0.2%"
"Aaron Ekblad","FLA","D","95","Morgo","","10.2","2.55","88%","-0.8%"
"Jeff Skinner","BUF","F","96","SNYD","BUF 3<br/>@CBJ 4 F","10","5","91%","-0.4%"
"Nikolaj Ehlers","WPG","F","97","ErikErla","","9.6","2.4","90%","0%"
"Kasperi Kapanen","TOR","F","98","420","STL 3<br/>@TOR 2 F","9.6","2.4","60%","-1.2%"
"Vincent Trocheck","FLA","F","99","evanmann","","9.6","2.4","87%","-1.3%"
"Antti Raanta","ARI","G","100","evanmann","","9.6","4.8","55%","-1.3%"
"Jake Guentzel","PIT","F","101","SNYD","","9.4","3.13","100%","0%"
"Brayden Schenn","STL","F","102","Maualpha","STL 3<br/>@TOR 2 F","9.4","3.13","98%","-0.1%"
"J.T. Miller","VAN","F","103","Curt","","9.2","2.3","94%","0%"
"Travis Konecny","PHI","F","104","Curt","","9.2","2.3","92%","-0.1%"
"Thomas Chabot","OTT","D","105","420","","9","2.25","98%","-0.4%"
"Kevin Shattenkirk","TB","D","106","ErikErla","","9","4.5","91%","0%"
"Neal Pionk","WPG","D","107","Morgo","","8.2","2.05","77%","-1.4%"
"Tuukka Rask","BOS","G","108","Morgo","","8","4","98%","0%"
"Alexander Radulov","DAL","F","109","evanmann","","8","2","94%","-0.7%"
"Shea Theodore","VGK","D","110","MorganBu","","8","2.67","81%","-1%"
"Seth Jones","CBJ","D","111","ErikErla","BUF 3<br/>@CBJ 4 F","7.8","3.9","97%","-0.3%"
"Jeff Petry","MON","D","112","Curt","","7.8","2.6","90%","-0.4%"
"John Gibson","ANA","G","113","Curt","","7.8","2.6","93%","-0.8%"
"Nicklas Backstrom","WSH","F","114","MorganBu","","7.8","1.95","98%","-0.1%"
"Oliver Ekman-Larsson","ARI","D","115","SNYD","","7.4","1.85","90%","-0.9%"
"Filip Forsberg","NSH","F","116","The_Face","","7.2","3.6","100%","0%"
"Darnell Nurse","EDM","D","117","The_Face","","7.2","1.8","90%","-1.2%"
"Jacob Trouba","NYR","D","118","evanmann","","7","1.75","91%","-0.9%"
"Claude Giroux","PHI","F","119","MorganBu","","7","1.75","98%","-0.4%"
"Cam Atkinson","CBJ","F","120","MorganBu","BUF 3<br/>@CBJ 4 F","7","3.5","86%","-0.6%"
"Ben Bishop","DAL","G","121","MorganBu","","7","3.5","98%","-0.2%"
"Thomas Greiss","NYI","G","122","SNYD","","6.7","6.7","74%","-0.4%"
"Patrice Bergeron","BOS","F","123","evanmann","","6.6","2.2","100%","-0.1%"
"Bo Horvat","VAN","F","124","SNYD","","6.6","1.65","94%","-0.8%"
"Morgan Rielly","TOR","D","125","420","STL 3<br/>@TOR 2 F","6.4","1.6","100%","-0.1%"
"Alex Galchenyuk","PIT","F","126","Timbo","","6.4","2.13","60%","-2.2%"
"Brady Tkachuk","OTT","F","127","The_Face","","6.2","1.55","91%","-0.5%"
"Tyson Barrie","TOR","D","128","MorganBu","STL 3<br/>@TOR 2 F","6","1.5","86%","-2.1%"
"Jack Hughes","NJ","F","129","MorganBu","","5.8","1.45","88%","-1%"
"Justin Schultz","PIT","D","130","Timbo","","5.8","1.93","53%","-1.8%"
"Victor Olofsson","BUF","F","131","ErikErla","BUF 3<br/>@CBJ 4 F","5.8","2.9","77%","-1.2%"
"Andrei Vasilevskiy","TB","G","132","Curt","","5.8","2.9","100%","-0.1%"
"Sergei Bobrovsky","FLA","G","133","Curt","","5.7","1.9","95%","-0.5%"
"Alex Pietrangelo","STL","D","134","evanmann","STL 3<br/>@TOR 2 F","5.6","1.87","98%","0%"
"Phil Kessel","ARI","F","135","Morgo","","5.6","1.4","87%","-1.2%"
"Pierre-Luc Dubois","CBJ","F","136","420","BUF 3<br/>@CBJ 4 F","5.6","2.8","84%","-0.8%"
"Rasmus Dahlin","BUF","D","137","Timbo","BUF 3<br/>@CBJ 4 F","5.6","2.8","98%","-0.3%"
"Rasmus Ristolainen","BUF","D","138","Curt","BUF 3<br/>@CBJ 4 F","5.4","2.7","87%","-0.5%"
"Sam Reinhart","BUF","F","139","Morgo","BUF 3<br/>@CBJ 4 F","5.4","2.7","91%","-0.2%"
"Mikhail Sergachev","TB","D","140","MorganBu","","5.4","2.7","88%","-0.9%"
"Matthew Tkachuk","CGY","F","141","Morgo","","5.4","2.7","99%","0%"
"Sean Monahan","CGY","F","142","420","","5.4","2.7","99%","-0.2%"
"Jakub Vrana","WSH","F","143","420","","5.2","1.3","85%","-0.8%"
"P.K. Subban","NJ","D","144","SNYD","","5.2","1.3","88%","-1.5%"
"Reilly Smith","VGK","F","145","MorganBu","","5.2","1.73","84%","-0.1%"
"Ryan Ellis","NSH","D","146","Maualpha","","5","2.5","97%","+0.1%"
"Matt Duchene","NSH","F","147","ErikErla","","5","2.5","95%","-0.3%"
"Max Domi","MON","F","148","Timbo","","4.8","1.6","93%","-1%"
"Mike Smith","EDM","G","149","SNYD","","4.6","2.3","73%","-1.3%"
"Semyon Varlamov","NYI","G","150","Morgo","","4.4","4.4","80%","-0.9%"
"Mattias Ekholm","NSH","D","151","Maualpha","","4.4","2.2","91%","-0.8%"
"James Neal","EDM","F","152","Curt","","4.4","1.1","84%","-2.1%"
"David Perron","STL","F","153","Morgo","STL 3<br/>@TOR 2 F","4.4","1.47","89%","+0.1%"
"Jakub Voracek","PHI","F","154","evanmann","","4.2","1.05","82%","-1.3%"
"Ryan Johansen","NSH","F","155","420","","4.2","2.1","77%","-1.1%"
"Johnny Gaudreau","CGY","F","156","ErikErla","","3.6","1.8","99%","-0.2%"
"Viktor Arvidsson","NSH","F","157","Timbo","","3.4","1.7","93%","-1.3%"
"Joel Armia","MON","F","158","Morgo","","3.2","1.07","44%","-4.7%"
"Brayden Point","TB","F","159","SNYD","","3.2","1.6","99%","-0.4%"
"Nick Schmaltz","ARI","F","160","Timbo","","3","0.75","68%","-1.9%"
"Mark Stone","VGK","F","161","ErikErla","","2.6","0.87","99%","-0.2%"
"Jacob Markstrom","VAN","G","162","ErikErla","","2.2","1.1","85%","-1.5%"
"Matt Murray","PIT","G","163","MorganBu","","2.1","1.05","99%","-0.1%"
"Elias Lindholm","CGY","F","164","Timbo","","2","1","99%","-0.2%"
"Frederik Andersen","TOR","G","165","420","STL 3<br/>@TOR 2 F","1.9","0.95","100%","0%"
"Jordan Binnington","STL","G","166","Maualpha","STL 3<br/>@TOR 2 F","1.7","0.85","99%","0%"
"Mark Giordano","CGY","D","167","420","","1.6","0.8","99%","-0.2%"
"David Rittich","CGY","G","168","Maualpha","","1.6","1.6","95%","-0.3%"
"Ryan OReilly","STL","F","169","Curt","STL 3<br/>@TOR 2 F","1.4","0.47","99%","-0.1%"
"Ryan Suter","MIN","D","170","ErikErla","","1.4","0.47","66%","-1.7%"
"Torey Krug","BOS","D","171","Timbo","","0.6","0.6","99%","-0.3%"
"Erik Haula","CAR","F","172","420","","0.2","0.1","53%","-6%"
"Sidney Crosby","PIT","F","173","Timbo","","0","0","99%","-0.4%"
"Mikko Rantanen","COL","F","174","Curt","","0","0","99%","-0.1%"
"Mitchell Marner","TOR","F","175","SNYD","STL 3<br/>@TOR 2 F","0","0","99%","-0.1%"
"Mika Zibanejad","NYR","F","176","Timbo","","0","0","98%","-0.2%"
"Kris Letang","PIT","D","177","The_Face","","0","0","98%","-0.3%"
"Philipp Grubauer","COL","G","178","The_Face","","0","0","98%","-0.3%"
"Gabriel Landeskog","COL","F","179","Morgo","","0","0","96%","-0.2%"
"John Klingberg","DAL","D","180","Curt","","0","0","91%","-0.8%"
"Vladimir Tarasenko","STL","F","181","The_Face","STL 3<br/>@TOR 2 F","0","0","83%","-0.7%"
"Dustin Byfuglien","WPG","D","182","Maualpha","","0","0","57%","-0.8%"
"Patric Hornqvist","PIT","F","183","ErikErla","","0","0","55%","-0.6%"
"Sami Vatanen","NJ","D","184","evanmann","","0","0","38%","-1.7%"
"Carter Hutton","BUF","G","185","The_Face","BUF 3<br/>@CBJ 4 F","-1.7","-1.7","85%","-3.5%"
"Marc-Andre Fleury","VGK","G","186","Maualpha","","-2.3","-2.3","99%","0%"
"Henrik Lundqvist","NYR","G","187","SNYD","","-2.7","-0.9","67%","-1.6%"
"Pekka Rinne","NSH","G","188","ErikErla","","-4.2","-2.1","98%","-0.3%"
