"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-"
"Connor McDavid","EDM","F","1","Maualpha","","48.2","12.05","100%","0%"
"Leon Draisaitl","EDM","F","2","SNYD","","37.2","9.3","100%","0%"
"Keith Yandle","FLA","D","3","Curt","","36.4","9.1","97%","-0.1%"
"MacKenzie Blackwood","NJ","G","4","evanmann","","28.6","7.15","75%","-0.5%"
"Oscar Klefbom","EDM","D","5","Timbo","","28.6","7.15","93%","+0.1%"
"Nathan MacKinnon","COL","F","6","The_Face","","27.2","9.07","100%","0%"
"Darcy Kuemper","ARI","G","7","Morgo","","24.4","12.2","88%","-0.4%"
"Patrick Kane","CHI","F","8","evanmann","","24.4","8.13","100%","0%"
"Logan Couture","SJ","F","9","The_Face","","23","7.67","95%","+0.2%"
"Miro Heiskanen","DAL","D","10","SNYD","","22.6","5.65","97%","+0.1%"
"Jonathan Huberdeau","FLA","F","11","evanmann","","22","5.5","100%","0%"
"Jonathan Quick","LA","G","12","MorganBu","","22","7.33","51%","-1.4%"
"Victor Hedman","TB","D","13","The_Face","","22","11","99%","-0.1%"
"Artemi Panarin","NYR","F","14","Maualpha","","21.8","5.45","98%","0%"
"Dougie Hamilton","CAR","D","15","Curt","","21.6","7.2","99%","0%"
"Erik Karlsson","SJ","D","16","evanmann","","21.6","7.2","96%","0%"
"Evgenii Dadonov","FLA","F","17","Maualpha","","21.4","5.35","97%","-0.1%"
"Andrei Svechnikov","CAR","F","18","evanmann","","21.2","7.07","98%","0%"
"Auston Matthews","TOR","F","19","MorganBu","STL 3<br/>@TOR 2 F","21","5.25","100%","0%"
"Jack Eichel","BUF","F","20","Timbo","BUF 3<br/>@CBJ 4 F","20.8","10.4","100%","0%"
"Cale Makar","COL","D","21","Maualpha","","20.6","6.87","99%","0%"
"Robin Lehner","CHI","G","22","Timbo","","20.6","10.3","76%","-0.5%"
"Ryan Nugent-Hopkins","EDM","F","23","Morgo","","20","5","93%","-0.7%"
"Alexander Edler","VAN","D","24","evanmann","","19.8","4.95","87%","-0.1%"
"Sebastian Aho","CAR","F","25","Curt","","19.8","6.6","99%","0%"
"Shea Weber","MON","D","26","MorganBu","","19.4","6.47","97%","0%"
"Aleksander Barkov","FLA","F","27","Timbo","","19.4","4.85","100%","0%"
"Tyler Seguin","DAL","F","28","The_Face","","19","4.75","98%","-0.2%"
"Mike Hoffman","FLA","F","29","ErikErla","","18.8","4.7","96%","0%"
"John Carlson","WSH","D","30","Morgo","","18.4","4.6","100%","0%"
"Martin Jones","SJ","G","31","evanmann","","18.3","6.1","88%","-0.8%"
"Evander Kane","SJ","F","32","The_Face","","18.2","6.07","96%","0%"
"Drew Doughty","LA","D","33","420","","17.8","5.93","91%","-0.3%"
"Ivan Provorov","PHI","D","34","Morgo","","17.6","4.4","91%","-0.2%"
"Josh Morrissey","WPG","D","35","The_Face","","17.6","4.4","91%","-0.1%"
"Brad Marchand","BOS","F","36","ErikErla","","17.4","4.35","100%","0%"
"Alex DeBrincat","CHI","F","37","Maualpha","","17.2","5.73","99%","-0.2%"
"Anze Kopitar","LA","F","38","MorganBu","","17.2","5.73","93%","-0.3%"
