"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-"
"Roman Josi","NSH","D","1","Timbo","","27.8","9.27","100%","0%"
"Bo Horvat","VAN","F","2","SNYD","","27.2","9.07","94%","0%"
"Connor Hellebuyck","WPG","G","3","Timbo","WPG 5<br/>@NJ 4 F","26.8","8.93","98%","-0.1%"
"Jake Muzzin","TOR","D","4","SNYD","TOR 4<br/>@CBJ 1 F","22.2","5.55","88%","-0.2%"
"Pekka Rinne","NSH","G","5","ErikErla","","22.1","11.05","99%","0%"
"Alex Ovechkin","WSH","F","6","SNYD","WSH 2<br/>@NYI 1 F","21.8","5.45","100%","0%"
"Jack Eichel","BUF","F","7","Timbo","","21.6","7.2","100%","0%"
"Brian Elliott","PHI","G","8","evanmann","CHI 3<br/>@PHI 4 F","21.5","7.17","28%","-0.6%"
"Tuukka Rask","BOS","G","9","Morgo","","21.2","10.6","98%","0%"
"John Carlson","WSH","D","10","Morgo","WSH 2<br/>@NYI 1 F","19.8","4.95","100%","0%"
"Tom Wilson","WSH","F","11","SNYD","WSH 2<br/>@NYI 1 F","19.6","4.9","80%","-0.6%"
"Braden Holtby","WSH","G","12","The_Face","WSH 2<br/>@NYI 1 F","18.8","6.27","98%","-0.1%"
"Jordan Binnington","STL","G","13","Maualpha","","17.7","5.9","99%","-0.1%"
"Ivan Provorov","PHI","D","14","Morgo","CHI 3<br/>@PHI 4 F","17.4","5.8","86%","0%"
"James van Riemsdyk","PHI","F","15","evanmann","CHI 3<br/>@PHI 4 F","17.2","5.73","62%","-0.2%"
"Thomas Chabot","OTT","D","16","420","","17","5.67","99%","0%"
"Jacob Markstrom","VAN","G","17","ErikErla","","16.9","5.63","88%","-0.4%"
"Matt Dumba","MIN","D","18","evanmann","","15.8","3.95","94%","-0.7%"
"Quinn Hughes","VAN","D","19","The_Face","","15.8","5.27","92%","-0.5%"
"Ryan Getzlaf","ANA","F","20","Timbo","","15.4","3.85","73%","+0.4%"
"Nathan MacKinnon","COL","F","21","The_Face","","15.4","5.13","100%","0%"
"Travis Konecny","PHI","F","22","Curt","CHI 3<br/>@PHI 4 F","15.2","5.07","88%","0%"
"Mark Giordano","CGY","D","23","420","","15","3.75","99%","0%"
"Mattias Ekholm","NSH","D","24","Maualpha","","15","5","92%","-0.2%"
"Joel Armia","MON","F","25","Morgo","","15","7.5","47%","+1.6%"
"Elias Pettersson","VAN","F","26","Maualpha","","14.8","4.93","100%","0%"
"Kasperi Kapanen","TOR","F","27","420","TOR 4<br/>@CBJ 1 F","14.8","3.7","63%","-1.8%"
"Petr Mrazek","CAR","G","28","420","","14.6","7.3","94%","0%"
"Auston Matthews","TOR","F","29","MorganBu","TOR 4<br/>@CBJ 1 F","14.6","3.65","100%","0%"
"Cale Makar","COL","D","30","Maualpha","","14.4","4.8","99%","0%"
"David Pastrnak","BOS","F","31","Morgo","","14.2","7.1","100%","0%"
"Seth Jones","CBJ","D","32","ErikErla","TOR 4<br/>@CBJ 1 F","14.2","4.73","99%","-0.1%"
"Jonathan Huberdeau","FLA","F","33","evanmann","","14","7","100%","0%"
"Aleksander Barkov","FLA","F","34","Timbo","","14","7","100%","-0.1%"
"Elias Lindholm","CGY","F","35","Timbo","","14","3.5","99%","0%"
"Devan Dubnyk","MIN","G","36","evanmann","","13.9","6.95","80%","-1.3%"
"Ryan Ellis","NSH","D","37","Maualpha","","13.6","4.53","96%","0%"
"Mitchell Marner","TOR","F","38","SNYD","TOR 4<br/>@CBJ 1 F","13.4","3.35","99%","0%"
"Shayne Gostisbehere","PHI","D","39","ErikErla","CHI 3<br/>@PHI 4 F","13.2","4.4","83%","-1%"
"Morgan Rielly","TOR","D","40","420","TOR 4<br/>@CBJ 1 F","13","3.25","100%","0%"
"Brayden Schenn","STL","F","41","Maualpha","","12.8","4.27","98%","+0.2%"
"Jake Guentzel","PIT","F","42","SNYD","","12.8","4.27","100%","0%"
"Evander Kane","SJ","F","43","The_Face","VGK 5<br/>@SJ 1 F","12.8","4.27","95%","0%"
"Henrik Lundqvist","NYR","G","44","SNYD","","12.7","6.35","70%","-1.2%"
"Matt Murray","PIT","G","45","MorganBu","","12.7","6.35","98%","0%"
"Leon Draisaitl","EDM","F","46","SNYD","","12.6","4.2","100%","0%"
"Evgeny Kuznetsov","WSH","F","47","SNYD","WSH 2<br/>@NYI 1 F","12.2","3.05","98%","0%"
"Claude Giroux","PHI","F","48","MorganBu","CHI 3<br/>@PHI 4 F","12.2","4.07","98%","0%"
"Victor Hedman","TB","D","49","The_Face","","12.2","6.1","100%","0%"
"Oliver Ekman-Larsson","ARI","D","50","SNYD","","12.2","4.07","92%","-0.1%"
"Dougie Hamilton","CAR","D","51","Curt","","12","6","99%","0%"
"Pierre-Luc Dubois","CBJ","F","52","420","TOR 4<br/>@CBJ 1 F","12","4","88%","-0.1%"
"Ben Bishop","DAL","G","53","MorganBu","","11.7","5.85","98%","-0.2%"
"Matthew Tkachuk","CGY","F","54","Morgo","","11.6","2.9","99%","0%"
"Sam Reinhart","BUF","F","55","Morgo","","11.6","3.87","91%","-0.3%"
"Jakub Voracek","PHI","F","56","evanmann","CHI 3<br/>@PHI 4 F","11.6","3.87","86%","+0.1%"
"Viktor Arvidsson","NSH","F","57","Timbo","","11.4","3.8","97%","-0.2%"
"Zach Werenski","CBJ","D","58","420","TOR 4<br/>@CBJ 1 F","11.4","3.8","85%","-1.1%"
"J.T. Miller","VAN","F","59","Curt","","11.2","3.73","90%","+0.3%"
"Tomas Hertl","SJ","F","60","Maualpha","VGK 5<br/>@SJ 1 F","11.2","3.73","96%","-0.3%"
"Jacob Trouba","NYR","D","61","evanmann","","11.2","3.73","95%","-0.2%"
"Rasmus Ristolainen","BUF","D","62","Curt","","11.2","3.73","90%","-1.2%"
"Neal Pionk","WPG","D","63","Timbo","WPG 5<br/>@NJ 4 F","11.2","3.73","75%","-0.3%"
"Nazem Kadri","COL","F","64","420","","11","3.67","81%","-0.3%"
"Brad Marchand","BOS","F","65","ErikErla","","10.8","5.4","100%","0%"
"Connor McDavid","EDM","F","66","Maualpha","","10.8","3.6","100%","0%"
"Brock Boeser","VAN","F","67","Maualpha","","10.6","3.53","98%","-0.1%"
"Andrei Svechnikov","CAR","F","68","evanmann","","10.6","5.3","96%","0%"
"Drew Doughty","LA","D","69","420","","10.6","3.53","91%","-0.4%"
"Nick Schmaltz","ARI","F","70","Timbo","","10.4","3.47","72%","0%"
"Patric Hornqvist","PIT","F","71","ErikErla","","10.4","3.47","63%","-0.2%"
"Erik Karlsson","SJ","D","72","evanmann","VGK 5<br/>@SJ 1 F","10.4","3.47","97%","-0.2%"
"Anze Kopitar","LA","F","73","MorganBu","","10.4","3.47","92%","-0.4%"
"Jaden Schwartz","STL","F","74","Timbo","","10.4","3.47","67%","-0.5%"
"Sebastian Aho","CAR","F","75","Curt","","10.4","5.2","99%","-0.2%"
"T.J. Oshie","WSH","F","76","MorganBu","WSH 2<br/>@NYI 1 F","10.4","2.6","92%","-0.2%"
"David Perron","STL","F","77","Morgo","","10","3.33","78%","+1%"
"Johnny Gaudreau","CGY","F","78","ErikErla","","10","2.5","100%","-0.1%"
