"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-"
"William Nylander","TOR","F","79","420","TOR 4<br/>@CBJ 1 F","10","2.5","94%","-0.7%"
"Cam Atkinson","CBJ","F","80","MorganBu","TOR 4<br/>@CBJ 1 F","10","3.33","91%","-0.7%"
"Vladimir Tarasenko","STL","F","81","The_Face","","10","5","90%","-5%"
"Andrei Vasilevskiy","TB","G","82","Curt","","9.8","9.8","100%","-0.2%"
"Ryan Johansen","NSH","F","83","420","","9.8","3.27","82%","-0.8%"
"Jakob Silfverberg","ANA","F","84","The_Face","","9.6","2.4","61%","-2.1%"
"Brent Burns","SJ","D","85","ErikErla","VGK 5<br/>@SJ 1 F","9.4","3.13","100%","0%"
"Jonathan Quick","LA","G","86","MorganBu","","9.3","3.1","53%","-1.9%"
"Philipp Grubauer","COL","G","87","The_Face","","9.2","4.6","99%","0%"
"Mike Smith","EDM","G","88","SNYD","","9.1","4.55","69%","-2.9%"
"Marc-Andre Fleury","VGK","G","89","Maualpha","VGK 5<br/>@SJ 1 F","9.1","4.55","99%","0%"
"Steven Stamkos","TB","F","90","MorganBu","","9","4.5","100%","0%"
"Torey Krug","BOS","D","91","Timbo","","9","4.5","99%","+0.1%"
"Darnell Nurse","EDM","D","92","The_Face","","9","3","95%","-0.2%"
"Jack Hughes","NJ","F","93","MorganBu","WPG 5<br/>@NJ 4 F","9","9","92%","-0.3%"
"Max Domi","MON","F","94","Timbo","","8.8","2.93","97%","-0.1%"
"Artemi Panarin","NYR","F","95","Maualpha","","8.8","2.93","97%","-0.1%"
"Brendan Gallagher","MON","F","96","Curt","","8.8","2.93","94%","-0.2%"
"Jonathan Drouin","MON","F","97","The_Face","","8.8","2.93","79%","+0.1%"
"Frederik Andersen","TOR","G","98","420","TOR 4<br/>@CBJ 1 F","8.5","4.25","100%","-0.1%"
"Thomas Greiss","NYI","G","99","SNYD","WSH 2<br/>@NYI 1 F","8.4","8.4","62%","-0.9%"
"William Karlsson","VGK","F","100","The_Face","VGK 5<br/>@SJ 1 F","8.4","2.8","95%","0%"
"Jeff Petry","MON","D","101","Curt","","8.2","2.73","87%","-0.5%"
"Sean Monahan","CGY","F","102","420","","8.2","2.05","99%","-0.1%"
"Anthony Mantha","DET","F","103","evanmann","","8.2","2.73","98%","0%"
"Alexander Edler","VAN","D","104","evanmann","","8.2","2.73","83%","-0.1%"
"David Rittich","CGY","G","105","Maualpha","","8.1","4.05","92%","-0.2%"
"Josh Morrissey","WPG","D","106","The_Face","WPG 5<br/>@NJ 4 F","8","2.67","90%","-0.7%"
"Alex Pietrangelo","STL","D","107","evanmann","","7.8","2.6","97%","0%"
"Nikolaj Ehlers","WPG","F","108","ErikErla","WPG 5<br/>@NJ 4 F","7.8","2.6","89%","-0.4%"
"Antti Raanta","ARI","G","109","Timbo","","7.5","7.5","57%","-1.2%"
"Shea Weber","MON","D","110","MorganBu","","7.4","2.47","93%","-0.3%"
"Reilly Smith","VGK","F","111","MorganBu","VGK 5<br/>@SJ 1 F","7.4","2.47","81%","-0.2%"
"Joe Pavelski","DAL","F","112","SNYD","","7.2","2.4","79%","-2.1%"
"Kyle Connor","WPG","F","113","420","WPG 5<br/>@NJ 4 F","7.2","2.4","91%","-0.5%"
"Mark Stone","VGK","F","114","ErikErla","VGK 5<br/>@SJ 1 F","7","2.33","99%","-0.1%"
"Jamie Benn","DAL","F","115","ErikErla","","7","2.33","93%","-0.7%"
"Clayton Keller","ARI","F","116","Maualpha","","7","2.33","88%","-0.5%"
"Carey Price","MON","G","117","420","","6.8","3.4","95%","0%"
"Jonathan Marchessault","VGK","F","118","Morgo","VGK 5<br/>@SJ 1 F","6.8","2.27","95%","-0.2%"
"Ryan Suter","MIN","D","119","ErikErla","","6.8","1.7","72%","-2.3%"
"Nikita Kucherov","TB","F","120","Morgo","","6.6","3.3","100%","0%"
"Semyon Varlamov","NYI","G","121","Morgo","WSH 2<br/>@NYI 1 F","6.6","6.6","77%","-0.5%"
"Brock Nelson","NYI","F","122","420","WSH 2<br/>@NYI 1 F","6.6","3.3","62%","-0.3%"
"Sidney Crosby","PIT","F","123","Timbo","","6.4","2.13","100%","0%"
"Patrik Laine","WPG","F","124","Maualpha","WPG 5<br/>@NJ 4 F","6.4","2.13","100%","0%"
"Tyler Seguin","DAL","F","125","The_Face","","6.4","2.13","98%","-0.4%"
"Ondrej Palat","TB","F","126","ErikErla","","6","3","38%","-1.5%"
"Darcy Kuemper","ARI","G","127","Morgo","","5.5","2.75","80%","-0.1%"
"Ryan OReilly","STL","F","128","Curt","","5.2","1.73","98%","-0.1%"
"Timo Meier","SJ","F","129","Morgo","VGK 5<br/>@SJ 1 F","5.2","1.73","94%","-1.4%"
"Brady Tkachuk","OTT","F","130","The_Face","","5.2","1.73","91%","-0.8%"
"Mark Scheifele","WPG","F","131","evanmann","WPG 5<br/>@NJ 4 F","5.2","1.73","100%","0%"
"Nicklas Backstrom","WSH","F","132","MorganBu","WSH 2<br/>@NYI 1 F","5.2","1.3","98%","0%"
"Kris Letang","PIT","D","133","The_Face","","5","1.67","99%","0%"
"Keith Yandle","FLA","D","134","Curt","","5","2.5","92%","-1.3%"
"Rickard Rakell","ANA","F","135","Curt","","5","1.25","91%","-1.2%"
"Logan Couture","SJ","F","136","The_Face","VGK 5<br/>@SJ 1 F","4.8","1.6","94%","-0.3%"
"Phil Kessel","ARI","F","137","Morgo","","4.8","1.6","92%","-1%"
"Mikhail Sergachev","TB","D","138","MorganBu","","4.8","2.4","93%","-1.1%"
"Rasmus Dahlin","BUF","D","139","Timbo","","4.6","1.53","100%","-0.2%"
"Mika Zibanejad","NYR","F","140","Timbo","","4.6","1.53","100%","0%"
"Patrick Kane","CHI","F","141","evanmann","CHI 3<br/>@PHI 4 F","4.6","1.15","99%","-0.1%"
"Dylan Strome","CHI","F","142","MorganBu","CHI 3<br/>@PHI 4 F","4.6","1.15","76%","-1.1%"
"Evgenii Dadonov","FLA","F","143","Maualpha","","4.4","2.2","96%","-0.1%"
"Sergei Bobrovsky","FLA","G","144","Curt","","4.3","2.15","96%","-0.3%"
"Sean Couturier","PHI","F","145","Curt","CHI 3<br/>@PHI 4 F","4.2","1.4","95%","-0.8%"
"Erik Haula","CAR","F","146","420","","4.2","2.1","67%","-1.1%"
"Ryan McDonagh","TB","D","147","Morgo","","4.2","2.1","60%","-2.2%"
"Andre Burakovsky","COL","F","148","Curt","","4.2","1.4","57%","-2.3%"
"Taylor Hall","NJ","F","149","ErikErla","WPG 5<br/>@NJ 4 F","4","4","99%","-0.1%"
"Mathew Barzal","NYI","F","150","420","WSH 2<br/>@NYI 1 F","4","2","97%","0%"
"Jeff Skinner","BUF","F","151","SNYD","","3.8","1.27","94%","0%"
"Oscar Klefbom","EDM","D","152","Timbo","","3.8","1.27","93%","-0.9%"
"Patrice Bergeron","BOS","F","153","evanmann","","3.6","1.8","100%","0%"
"Tyson Barrie","TOR","D","154","MorganBu","TOR 4<br/>@CBJ 1 F","3.6","0.9","95%","-1.9%"
"James Neal","EDM","F","155","Curt","","3.6","1.2","89%","-0.2%"
"Paul Stastny","VGK","F","156","Morgo","VGK 5<br/>@SJ 1 F","3.6","1.2","75%","-0.7%"
"John Gibson","ANA","G","157","Curt","","3.4","1.13","94%","-0.6%"
"Blake Wheeler","WPG","F","158","Curt","WPG 5<br/>@NJ 4 F","3.4","1.13","98%","-0.5%"
"Ryan Nugent-Hopkins","EDM","F","159","Morgo","","3.4","1.13","92%","-0.7%"
"Alex DeBrincat","CHI","F","160","Maualpha","CHI 3<br/>@PHI 4 F","3.4","0.85","98%","-0.4%"
"P.K. Subban","NJ","D","161","SNYD","WPG 5<br/>@NJ 4 F","3.4","3.4","94%","-0.7%"
"Brayden Point","TB","F","162","SNYD","","3.2","1.6","100%","-0.1%"
"Mikko Rantanen","COL","F","163","Curt","","3.2","3.2","100%","-0.2%"
"Max Pacioretty","VGK","F","164","MorganBu","VGK 5<br/>@SJ 1 F","3.2","1.07","95%","0%"
"Miro Heiskanen","DAL","D","165","SNYD","","3","1","94%","-0.6%"
"Matt Duchene","NSH","F","166","ErikErla","","3","1.5","97%","-0.3%"
"Erik Gustafsson","CHI","D","167","SNYD","CHI 3<br/>@PHI 4 F","2.8","0.7","93%","-2.9%"
"Dylan Larkin","DET","F","168","Timbo","","2.6","0.87","99%","-0.4%"
"Alexander Radulov","DAL","F","169","evanmann","","2.4","0.8","91%","-1.6%"
"Shea Theodore","VGK","D","170","MorganBu","VGK 5<br/>@SJ 1 F","2.4","0.8","88%","-2.1%"
"Teuvo Teravainen","CAR","F","171","Maualpha","","2","1","98%","-0.4%"
"Kevin Shattenkirk","TB","D","172","ErikErla","","2","1","86%","-0.6%"
"Gabriel Landeskog","COL","F","173","Morgo","","2","0.67","98%","-1.3%"
"Carter Hutton","BUF","G","174","The_Face","","1.9","0.95","90%","-0.1%"
"John Klingberg","DAL","D","175","Curt","","1.8","0.6","97%","-0.9%"
"Jonathan Toews","CHI","F","176","The_Face","CHI 3<br/>@PHI 4 F","1.6","0.4","78%","-2.9%"
"Aaron Ekblad","FLA","D","177","Morgo","","1.4","1.4","88%","-0.9%"
"Mike Hoffman","FLA","F","178","ErikErla","","0.8","0.4","97%","-0.5%"
"Martin Jones","SJ","G","179","evanmann","VGK 5<br/>@SJ 1 F","0.5","0.25","90%","-2.1%"
"Filip Forsberg","NSH","F","180","The_Face","","0","0","99%","-0.1%"
"John Tavares","TOR","F","181","420","TOR 4<br/>@CBJ 1 F","0","0","99%","0%"
"Evgeni Malkin","PIT","F","182","evanmann","","0","0","97%","-0.1%"
"Carter Hart","PHI","G","183","ErikErla","CHI 3<br/>@PHI 4 F","0","0","94%","-2.3%"
"Vincent Trocheck","FLA","F","184","evanmann","","0","0","92%","-1.1%"
"Alex Galchenyuk","PIT","F","185","Timbo","","0","0","75%","-0.7%"
"Dustin Byfuglien","WPG","D","186","Maualpha","WPG 5<br/>@NJ 4 F","0","0","68%","-1.8%"
