"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-"
"Mark Stone","VGK","F","161","ErikErla","","2.4","0.8","99%","0%"
"Paul Stastny","VGK","F","162","Morgo","","2.4","0.8","68%","-2.2%"
"Joe Pavelski","DAL","F","163","SNYD","DAL 3<br/>@DET 4 F","2.2","2.2","78%","-1.2%"
"Kasperi Kapanen","TOR","F","164","420","","2","0.67","61%","-1.5%"
"Mikhail Sergachev","TB","D","165","MorganBu","TB 3<br/>@CAR 4 F","1.8","0.9","89%","-1.8%"
"Aaron Ekblad","FLA","D","166","Morgo","","1.8","0.9","88%","-0.2%"
"Semyon Varlamov","NYI","G","167","Morgo","WPG 1<br/>@NYI 4 F","1.8","1.8","80%","-0.5%"
"Philipp Grubauer","COL","G","168","The_Face","","1.6","1.6","98%","-0.5%"
"Sidney Crosby","PIT","F","169","Timbo","","1.6","0.53","100%","-0.1%"
"Jeff Skinner","BUF","F","170","SNYD","","1.6","0.8","91%","-1.4%"
"Nikolaj Ehlers","WPG","F","171","ErikErla","WPG 1<br/>@NYI 4 F","1.6","0.8","90%","-0.5%"
"Mike Hoffman","FLA","F","172","ErikErla","","1.4","0.7","95%","-0.5%"
"Shea Theodore","VGK","D","173","MorganBu","","1.2","0.4","82%","-1.7%"
"Miro Heiskanen","DAL","D","174","SNYD","DAL 3<br/>@DET 4 F","1","1","95%","-0.3%"
"Jamie Benn","DAL","F","175","ErikErla","DAL 3<br/>@DET 4 F","1","1","87%","-1.6%"
"John Gibson","ANA","G","176","Curt","","0.5","0.5","94%","-0.3%"
"Carter Hutton","BUF","G","177","The_Face","","0.5","0.5","89%","-1%"
"Tuukka Rask","BOS","G","178","Morgo","","0.4","0.2","98%","0%"
"Vincent Trocheck","FLA","F","179","evanmann","","0.4","0.4","89%","-1%"
"Mikko Rantanen","COL","F","180","Curt","","0","0","99%","0%"
"Mika Zibanejad","NYR","F","181","Timbo","","0","0","98%","-0.7%"
"Gabriel Landeskog","COL","F","182","Morgo","","0","0","97%","-0.2%"
"Vladimir Tarasenko","STL","F","183","The_Face","","0","0","85%","-1%"
"Erik Haula","CAR","F","184","420","TB 3<br/>@CAR 4 F","0","0","60%","-2.4%"
"Dustin Byfuglien","WPG","D","185","Maualpha","WPG 1<br/>@NYI 4 F","0","0","59%","-1.5%"
"Patric Hornqvist","PIT","F","186","ErikErla","","0","0","56%","-1.6%"
"Petr Mrazek","CAR","G","187","420","TB 3<br/>@CAR 4 F","-1.3","-0.65","95%","-0.3%"
