"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-"
"Pastrnak, David","BOS","F","1","Morgo","BOS 2<br/>@DAL 1 F","39.2","13.07","100%","0%"
"Fleury, Marc-Andre","VGK","G","2","Maualpha","","33.5","8.38","99%","+0.2%"
"Hutton, Carter","BUF","G","3","The_Face","BUF 3<br/>@PIT 1 F","30.4","15.2","86%","+7.3%"
"Carlson, John","WSH","D","4","Morgo","","29.6","9.87","100%","+0.3%"
"Rielly, Morgan","TOR","D","5","420","","27.6","9.2","100%","0%"
"Stastny, Paul","VGK","F","6","Morgo","","27.4","6.85","74%","+4.7%"
"Ellis, Ryan","NSH","D","7","Maualpha","MIN 2<br/>@NSH 5 F","23","7.67","93%","+2.1%"
"Hertl, Tomas","SJ","F","8","Maualpha","","22.8","7.6","95%","-0.3%"
"Edler, Alexander","VAN","D","9","evanmann","","22.4","7.47","79%","+4.6%"
"Kane, Evander","SJ","F","10","The_Face","","22.2","7.4","94%","+1.1%"
"Jones, Martin","SJ","G","11","evanmann","","20.7","6.9","94%","-0.7%"
"Barzal, Mathew","NYI","F","12","420","","20.6","6.87","96%","-0.3%"
"Pacioretty, Max","VGK","F","13","MorganBu","","20.6","5.15","94%","+2%"
"MacKinnon, Nathan","COL","F","14","The_Face","CGY 3<br/>@COL 5 F","20.2","5.05","100%","0%"
"Price, Carey","MON","G","15","420","MON 3<br/>@CAR 4 F","20.1","6.7","95%","-0.1%"
"Demko, Thatcher","VAN","G","16","Timbo","","20.1","6.7","49%","+4.5%"
"Letang, Kris","PIT","D","17","The_Face","BUF 3<br/>@PIT 1 F","19.4","4.85","99%","+0.3%"
"Rantanen, Mikko","COL","F","18","Curt","CGY 3<br/>@COL 5 F","18.8","4.7","100%","0%"
"Schmaltz, Nick","ARI","F","19","Timbo","ARI 1<br/>@ANA 2 F","18.8","6.27","55%","+10%"
"Rakell, Rickard","ANA","F","20","Curt","ARI 1<br/>@ANA 2 F","18.2","6.07","93%","+2.2%"
"Krug, Torey","BOS","D","21","Timbo","BOS 2<br/>@DAL 1 F","18","6","99%","+0.3%"
"Draisaitl, Leon","EDM","F","22","SNYD","","17.8","5.93","100%","0%"
"Andersen, Frederik","TOR","G","23","420","","17.5","8.75","100%","-0.1%"
"Stone, Mark","VGK","F","24","ErikErla","","17.4","4.35","99%","+0.2%"
"Oshie, T.J.","WSH","F","25","MorganBu","","17","5.67","89%","+2.2%"
"Kuemper, Darcy","ARI","G","26","Morgo","ARI 1<br/>@ANA 2 F","17","8.5","77%","+2.9%"
"Giordano, Mark","CGY","D","27","420","CGY 3<br/>@COL 5 F","16.8","4.2","99%","0%"
"Marner, Mitchell","TOR","F","28","SNYD","","16.6","5.53","99%","0%"
