"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-"
"Alex Ovechkin","WSH","F","21","SNYD","CAR 3<br/>@WSH 2 F","19.4","9.7","100%","0%"
"Alex Pietrangelo","STL","D","22","evanmann","DAL 2<br/>@STL 3 F","19.4","4.85","98%","+0.8%"
"Matthew Tkachuk","CGY","F","23","Morgo","VAN 0<br/>@CGY 3 F","18.8","6.27","99%","+0.1%"
"Alexander Edler","VAN","D","24","evanmann","VAN 0<br/>@CGY 3 F","18.6","4.65","86%","+3.4%"
"Robin Lehner","CHI","G","25","Timbo","","18","6","74%","+3.1%"
"Ryan Strome","NYR","F","26","The_Face","NYR 4<br/>@OTT 1 F","17.8","5.93","58%","+35.9%"
"Ryan Getzlaf","ANA","F","27","Timbo","SJ 1<br/>@ANA 3 F","17.6","5.87","80%","+7.7%"
"Dougie Hamilton","CAR","D","28","Curt","CAR 3<br/>@WSH 2 F","17.6","5.87","99%","+0.1%"
"Kyle Connor","WPG","F","29","420","","17.4","5.8","92%","+0.3%"
"Miro Heiskanen","DAL","D","30","SNYD","DAL 2<br/>@STL 3 F","17.2","5.73","95%","+0.2%"
"Aleksander Barkov","FLA","F","31","Timbo","TB 3<br/>@FLA 4 F","16.4","4.1","100%","0%"
"Drew Doughty","LA","D","32","420","LA 5<br/>@EDM 6 F","16.4","5.47","91%","0%"
"Bo Horvat","VAN","F","33","SNYD","VAN 0<br/>@CGY 3 F","16.4","4.1","96%","+1.7%"
"Aaron Ekblad","FLA","D","34","Morgo","TB 3<br/>@FLA 4 F","16.4","4.1","89%","-0.7%"
"Joe Pavelski","DAL","F","35","SNYD","DAL 2<br/>@STL 3 F","16.4","5.47","80%","-1.2%"
"Petr Mrazek","CAR","G","36","420","CAR 3<br/>@WSH 2 F","16.2","8.1","95%","+1.4%"
"Dylan Larkin","DET","F","37","Timbo","DET 5<br/>@NSH 3 F","16.2","4.05","99%","-0.2%"
"Braden Holtby","WSH","G","38","The_Face","CAR 3<br/>@WSH 2 F","16.2","8.1","99%","0%"
"Shea Weber","MON","D","39","MorganBu","MON 6<br/>@TOR 5 F","16.2","5.4","94%","+0.5%"
"Nikolaj Ehlers","WPG","F","40","ErikErla","","16.2","5.4","91%","+1.7%"
"Keith Yandle","FLA","D","41","Curt","TB 3<br/>@FLA 4 F","15.8","3.95","92%","-1%"
"Taylor Hall","NJ","F","42","ErikErla","NJ 2<br/>@BUF 7 F","15.8","5.27","100%","0%"
"Evander Kane","SJ","F","43","The_Face","SJ 1<br/>@ANA 3 F","15.6","3.9","95%","+0.2%"
"Tuukka Rask","BOS","G","44","Morgo","BOS 1<br/>@ARI 0 F","15.3","7.65","98%","+0.2%"
"Claude Giroux","PHI","F","45","MorganBu","","15","3.75","98%","+0.2%"
"Elias Lindholm","CGY","F","46","Timbo","VAN 0<br/>@CGY 3 F","14.8","4.93","99%","+0.3%"
"J.T. Miller","VAN","F","47","Curt","VAN 0<br/>@CGY 3 F","14.8","3.7","93%","+2.9%"
"William Karlsson","VGK","F","48","The_Face","","14.6","4.87","96%","+0.9%"
"Filip Hronek","DET","D","49","evanmann","DET 5<br/>@NSH 3 F","14.4","3.6","69%","+5.4%"
"Kevin Shattenkirk","TB","D","50","ErikErla","TB 3<br/>@FLA 4 F","14","4.67","88%","+1.1%"
"Ivan Provorov","PHI","D","51","Morgo","","13.6","3.4","89%","+2.8%"
"Sebastian Aho","CAR","F","52","Curt","CAR 3<br/>@WSH 2 F","13.6","4.53","99%","0%"
"Tyler Seguin","DAL","F","53","The_Face","DAL 2<br/>@STL 3 F","13.6","4.53","98%","-0.4%"
"Nathan MacKinnon","COL","F","54","The_Face","MIN 2<br/>@COL 4 F","13.4","4.47","100%","0%"
"Carey Price","MON","G","55","420","MON 6<br/>@TOR 5 F","13.4","6.7","96%","+0.1%"
"Jakub Voracek","PHI","F","56","evanmann","","13.2","3.3","87%","+0.5%"
"Mark Stone","VGK","F","57","ErikErla","","13","4.33","99%","0%"
"Sean Couturier","PHI","F","58","Curt","","13","3.25","95%","-1%"
"Sean Monahan","CGY","F","59","420","VAN 0<br/>@CGY 3 F","12.6","4.2","99%","-0.1%"
"Max Pacioretty","VGK","F","60","MorganBu","","12.6","4.2","95%","+0.4%"
"Brayden Schenn","STL","F","61","Maualpha","DAL 2<br/>@STL 3 F","12.4","3.1","98%","+0.5%"
"Pierre-Luc Dubois","CBJ","F","62","420","CBJ 2<br/>@PIT 7 F","12.4","4.13","89%","+1.5%"
"Jakob Silfverberg","ANA","F","63","The_Face","SJ 1<br/>@ANA 3 F","12.4","4.13","66%","+3%"
"Matt Murray","PIT","G","64","MorganBu","CBJ 2<br/>@PIT 7 F","12.1","6.05","99%","+0.2%"
"Teuvo Teravainen","CAR","F","65","Maualpha","CAR 3<br/>@WSH 2 F","12","4","98%","-0.5%"
"Quinn Hughes","VAN","D","66","The_Face","VAN 0<br/>@CGY 3 F","12","4","93%","+0.3%"
"Jonathan Marchessault","VGK","F","67","Morgo","","11.8","3.93","95%","+0.4%"
"John Carlson","WSH","D","68","Morgo","CAR 3<br/>@WSH 2 F","11.6","5.8","100%","+0.2%"
"Ryan Nugent-Hopkins","EDM","F","69","Morgo","LA 5<br/>@EDM 6 F","11.4","2.85","92%","-0.2%"
"Anthony Mantha","DET","F","70","evanmann","DET 5<br/>@NSH 3 F","11.2","2.8","98%","0%"
"Brady Tkachuk","OTT","F","71","The_Face","NYR 4<br/>@OTT 1 F","11.2","5.6","91%","-0.5%"
"Mathew Barzal","NYI","F","72","420","","11","3.67","97%","+0.1%"
"Artemi Panarin","NYR","F","73","Maualpha","NYR 4<br/>@OTT 1 F","11","3.67","97%","-0.2%"
"Jeff Petry","MON","D","74","Curt","MON 6<br/>@TOR 5 F","10.8","3.6","88%","+0.7%"
"James Neal","EDM","F","75","Curt","LA 5<br/>@EDM 6 F","10.8","2.7","90%","+0.5%"
"Tom Wilson","WSH","F","76","SNYD","CAR 3<br/>@WSH 2 F","10.8","5.4","82%","+2%"
"Connor McDavid","EDM","F","77","Maualpha","LA 5<br/>@EDM 6 F","10.8","2.7","100%","0%"
"Auston Matthews","TOR","F","78","MorganBu","MON 6<br/>@TOR 5 F","10.8","5.4","100%","0%"
"Phil Kessel","ARI","F","79","Morgo","BOS 1<br/>@ARI 0 F","10.6","3.53","93%","-0.6%"
"Dylan Strome","CHI","F","80","MorganBu","","10.2","3.4","75%","-2.1%"
"Evgenii Dadonov","FLA","F","81","Maualpha","TB 3<br/>@FLA 4 F","10","2.5","96%","-0.5%"
"Johnny Gaudreau","CGY","F","82","ErikErla","VAN 0<br/>@CGY 3 F","10","3.33","100%","0%"
"Brayden Point","TB","F","83","SNYD","TB 3<br/>@FLA 4 F","10","3.33","99%","-0.2%"
"Nicklas Backstrom","WSH","F","84","MorganBu","CAR 3<br/>@WSH 2 F","10","5","98%","+0.1%"
"Torey Krug","BOS","D","85","Timbo","BOS 1<br/>@ARI 0 F","9.8","3.27","99%","+0.1%"
"Blake Wheeler","WPG","F","86","Curt","","9.8","3.27","98%","-0.6%"
"Ben Bishop","DAL","G","87","MorganBu","DAL 2<br/>@STL 3 F","9.7","4.85","98%","-0.8%"
"Sidney Crosby","PIT","F","88","Timbo","CBJ 2<br/>@PIT 7 F","9.6","4.8","100%","0%"
"Alex DeBrincat","CHI","F","89","Maualpha","","9.6","3.2","98%","-0.7%"
"Mike Hoffman","FLA","F","90","ErikErla","TB 3<br/>@FLA 4 F","9.6","2.4","97%","-0.6%"
"Erik Karlsson","SJ","D","91","evanmann","SJ 1<br/>@ANA 3 F","9.4","2.35","96%","-0.4%"
"P.K. Subban","NJ","D","92","SNYD","NJ 2<br/>@BUF 7 F","9.4","3.13","93%","-1%"
"Jonathan Drouin","MON","F","93","The_Face","MON 6<br/>@TOR 5 F","9.2","3.07","83%","+4.6%"
"Ryan McDonagh","TB","D","94","Morgo","TB 3<br/>@FLA 4 F","9.2","3.07","59%","-2.9%"
"Frederik Andersen","TOR","G","95","420","MON 6<br/>@TOR 5 F","9.1","4.55","100%","-0.1%"
"Tomas Hertl","SJ","F","96","Maualpha","SJ 1<br/>@ANA 3 F","9","2.25","96%","-0.6%"
"Thomas Greiss","NYI","G","97","SNYD","","9","9","65%","+2.1%"
"Brendan Gallagher","MON","F","98","Curt","MON 6<br/>@TOR 5 F","9","3","94%","+0.2%"
"Josh Morrissey","WPG","D","99","The_Face","","9","3","90%","-0.8%"
"Connor Hellebuyck","WPG","G","100","Timbo","","8.9","4.45","98%","+0.2%"
"Travis Konecny","PHI","F","101","Curt","","8.8","2.2","90%","+1.6%"
"Carter Hutton","BUF","G","102","The_Face","NJ 2<br/>@BUF 7 F","8.5","4.25","91%","+0.5%"
"Pekka Rinne","NSH","G","103","ErikErla","DET 5<br/>@NSH 3 F","8.4","4.2","99%","0%"
"Jacob Markstrom","VAN","G","104","ErikErla","VAN 0<br/>@CGY 3 F","8.1","4.05","89%","+1%"
"Zach Werenski","CBJ","D","105","420","CBJ 2<br/>@PIT 7 F","8","2.67","85%","-1.4%"
"Roman Josi","NSH","D","106","Timbo","DET 5<br/>@NSH 3 F","8","2.67","100%","0%"
"Mitchell Marner","TOR","F","107","SNYD","MON 6<br/>@TOR 5 F","8","4","99%","0%"
"Oscar Klefbom","EDM","D","108","Timbo","LA 5<br/>@EDM 6 F","8","2","93%","-0.9%"
"Shea Theodore","VGK","D","109","MorganBu","","8","2.67","87%","-3%"
"Jack Hughes","NJ","F","110","MorganBu","NJ 2<br/>@BUF 7 F","7.8","2.6","91%","-0.6%"
"Nazem Kadri","COL","F","111","420","MIN 2<br/>@COL 4 F","7.6","2.53","82%","+1.2%"
"Reilly Smith","VGK","F","112","MorganBu","","7.6","2.53","82%","+0.6%"
"T.J. Oshie","WSH","F","113","MorganBu","CAR 3<br/>@WSH 2 F","7.6","3.8","92%","0%"
"Rickard Rakell","ANA","F","114","Curt","SJ 1<br/>@ANA 3 F","7.4","2.47","90%","-2.5%"
"Morgan Rielly","TOR","D","115","420","MON 6<br/>@TOR 5 F","7.2","3.6","100%","0%"
"Ryan Suter","MIN","D","116","ErikErla","MIN 2<br/>@COL 4 F","7","2.33","71%","-3.5%"
"Paul Stastny","VGK","F","117","Morgo","","6.8","2.27","75%","-0.8%"
"Mark Giordano","CGY","D","118","420","VAN 0<br/>@CGY 3 F","6.8","2.27","99%","-0.1%"
"Cale Makar","COL","D","119","Maualpha","MIN 2<br/>@COL 4 F","6.8","2.27","99%","+0.3%"
"Cam Atkinson","CBJ","F","120","MorganBu","CBJ 2<br/>@PIT 7 F","6.8","2.27","90%","-2.2%"
"Jeff Skinner","BUF","F","121","SNYD","NJ 2<br/>@BUF 7 F","6.8","2.27","94%","0%"
"Anze Kopitar","LA","F","122","MorganBu","LA 5<br/>@EDM 6 F","6.8","2.27","92%","-0.4%"
"Erik Haula","CAR","F","123","420","CAR 3<br/>@WSH 2 F","6.8","2.27","66%","-1.7%"
"Kris Letang","PIT","D","124","The_Face","CBJ 2<br/>@PIT 7 F","6.8","3.4","99%","+0.1%"
"Logan Couture","SJ","F","125","The_Face","SJ 1<br/>@ANA 3 F","6.6","1.65","94%","-1.2%"
"Mikhail Sergachev","TB","D","126","MorganBu","TB 3<br/>@FLA 4 F","6.6","2.2","92%","-1.4%"
"Max Domi","MON","F","127","Timbo","MON 6<br/>@TOR 5 F","6.6","2.2","97%","-0.1%"
"Jamie Benn","DAL","F","128","ErikErla","DAL 2<br/>@STL 3 F","6.6","2.2","92%","-1.6%"
"Kasperi Kapanen","TOR","F","129","420","MON 6<br/>@TOR 5 F","6.6","3.3","63%","-1.6%"
"Patrick Kane","CHI","F","130","evanmann","","6.2","2.07","99%","-0.2%"
"Neal Pionk","WPG","D","131","Timbo","","6.2","2.07","76%","+0.5%"
"Shayne Gostisbehere","PHI","D","132","ErikErla","","6","1.5","82%","-1.6%"
"Nikita Kucherov","TB","F","133","Morgo","TB 3<br/>@FLA 4 F","6","2","100%","0%"
"Mark Scheifele","WPG","F","134","evanmann","","6","2","100%","0%"
"Ryan Ellis","NSH","D","135","Maualpha","DET 5<br/>@NSH 3 F","6","2","97%","+0.7%"
"Jack Eichel","BUF","F","136","Timbo","NJ 2<br/>@BUF 7 F","5.8","1.93","100%","0%"
"Jonathan Toews","CHI","F","137","ErikErla","","5.8","1.93","77%","-4.1%"
"Mattias Ekholm","NSH","D","138","Maualpha","DET 5<br/>@NSH 3 F","5.8","1.93","92%","-0.1%"
"Steven Stamkos","TB","F","139","MorganBu","TB 3<br/>@FLA 4 F","5.6","1.87","100%","0%"
"Joel Armia","MON","F","140","Morgo","MON 6<br/>@TOR 5 F","5.6","1.87","54%","+8.7%"
"Tyson Barrie","TOR","D","141","MorganBu","MON 6<br/>@TOR 5 F","5.4","2.7","94%","-2.5%"
"Filip Forsberg","NSH","F","142","The_Face","DET 5<br/>@NSH 3 F","5.4","2.7","100%","+0.1%"
"Jake Guentzel","PIT","F","143","SNYD","CBJ 2<br/>@PIT 7 F","5.4","2.7","100%","0%"
"Viktor Arvidsson","NSH","F","144","Timbo","DET 5<br/>@NSH 3 F","5.2","1.73","97%","-0.4%"
"Timo Meier","SJ","F","145","Morgo","SJ 1<br/>@ANA 3 F","5","1.25","92%","-3.8%"
"Clayton Keller","ARI","F","146","Maualpha","BOS 1<br/>@ARI 0 F","5","1.67","87%","-1.3%"
"Oliver Ekman-Larsson","ARI","D","147","SNYD","BOS 1<br/>@ARI 0 F","4.8","1.6","92%","+0.3%"
"James van Riemsdyk","PHI","F","148","evanmann","","4.8","1.2","61%","-1.6%"
"William Nylander","TOR","F","149","420","MON 6<br/>@TOR 5 F","4.6","2.3","94%","-1%"
"Jacob Trouba","NYR","D","150","evanmann","NYR 4<br/>@OTT 1 F","4.4","1.47","95%","-0.5%"
"Philipp Grubauer","COL","G","151","The_Face","MIN 2<br/>@COL 4 F","4.4","2.2","99%","-0.1%"
"Sam Reinhart","BUF","F","152","Morgo","NJ 2<br/>@BUF 7 F","4.4","1.47","89%","-2%"
"Brock Nelson","NYI","F","153","420","","4.4","1.47","62%","-0.2%"
"Patric Hornqvist","PIT","F","154","ErikErla","CBJ 2<br/>@PIT 7 F","4.4","2.2","61%","-1.8%"
"Seth Jones","CBJ","D","155","ErikErla","CBJ 2<br/>@PIT 7 F","4.4","1.47","98%","-0.6%"
"Rasmus Dahlin","BUF","D","156","Timbo","NJ 2<br/>@BUF 7 F","4.2","1.4","99%","-0.5%"
"Darnell Nurse","EDM","D","157","The_Face","LA 5<br/>@EDM 6 F","4","1","95%","-0.5%"
"Patrik Laine","WPG","F","158","Maualpha","","3.6","3.6","100%","0%"
"Rasmus Ristolainen","BUF","D","159","Curt","NJ 2<br/>@BUF 7 F","3.6","1.2","89%","-2.4%"
"Nick Schmaltz","ARI","F","160","Timbo","BOS 1<br/>@ARI 0 F","3.6","1.2","72%","+0.4%"
"Matt Dumba","MIN","D","161","evanmann","MIN 2<br/>@COL 4 F","3.4","1.13","93%","-1.6%"
"Marc-Andre Fleury","VGK","G","162","Maualpha","","3.3","1.65","99%","0%"
"Andrei Vasilevskiy","TB","G","163","Curt","TB 3<br/>@FLA 4 F","2.7","1.35","100%","-0.1%"
"Jonathan Quick","LA","G","164","MorganBu","LA 5<br/>@EDM 6 F","2.3","2.3","51%","-3.2%"
"Devan Dubnyk","MIN","G","165","evanmann","MIN 2<br/>@COL 4 F","2","1","79%","-1.8%"
"Ryan Johansen","NSH","F","166","420","DET 5<br/>@NSH 3 F","2","0.67","81%","-2%"
"Matt Duchene","NSH","F","167","ErikErla","DET 5<br/>@NSH 3 F","1.8","0.6","96%","-1.2%"
"John Klingberg","DAL","D","168","Curt","DAL 2<br/>@STL 3 F","1.6","0.53","96%","-2%"
"Evgeni Malkin","PIT","F","169","evanmann","CBJ 2<br/>@PIT 7 F","1.4","1.4","98%","+0.4%"
"Erik Gustafsson","CHI","D","170","SNYD","","1.4","0.7","88%","-7.5%"
"Carter Hart","PHI","G","171","ErikErla","","1.3","0.43","93%","-3.2%"
"Evgeny Kuznetsov","WSH","F","172","SNYD","CAR 3<br/>@WSH 2 F","1.2","0.6","98%","-0.1%"
"Antti Raanta","ARI","G","173","Timbo","BOS 1<br/>@ARI 0 F","1.2","1.2","57%","-1.4%"
"Alex Galchenyuk","PIT","F","174","Timbo","CBJ 2<br/>@PIT 7 F","1","0.5","73%","-2.4%"
"Thomas Chabot","OTT","D","175","420","NYR 4<br/>@OTT 1 F","0.8","0.4","99%","0%"
"Victor Olofsson","BUF","F","176","ErikErla","NJ 2<br/>@BUF 7 F","0.8","0.27","82%","-4.3%"
"Mika Zibanejad","NYR","F","177","Timbo","NYR 4<br/>@OTT 1 F","0.4","0.4","99%","-0.3%"
"Henrik Lundqvist","NYR","G","178","SNYD","NYR 4<br/>@OTT 1 F","0.2","0.2","70%","-1.8%"
"Jake Muzzin","TOR","D","179","SNYD","MON 6<br/>@TOR 5 F","0.2","0.2","88%","+0.3%"
"Martin Jones","SJ","G","180","evanmann","SJ 1<br/>@ANA 3 F","0.1","0.03","89%","-3.2%"
"Victor Hedman","TB","D","181","The_Face","TB 3<br/>@FLA 4 F","0","0","100%","0%"
"Mikko Rantanen","COL","F","182","Curt","MIN 2<br/>@COL 4 F","0","0","100%","-0.2%"
"John Tavares","TOR","F","183","420","MON 6<br/>@TOR 5 F","0","0","99%","0%"
"Gabriel Landeskog","COL","F","184","Morgo","MIN 2<br/>@COL 4 F","0","0","97%","-2.2%"
"Vincent Trocheck","FLA","F","185","evanmann","TB 3<br/>@FLA 4 F","0","0","91%","-1.7%"
"Vladimir Tarasenko","STL","F","186","The_Face","DAL 2<br/>@STL 3 F","0","0","88%","-7.7%"
"Dustin Byfuglien","WPG","D","187","Maualpha","","0","0","65%","-5.3%"
