"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-"
"Brock Boeser","VAN","F","1","Maualpha","VAN 0<br/>@CGY 3 F","31","7.75","99%","+0.8%"
"Elias Pettersson","VAN","F","2","Maualpha","VAN 0<br/>@CGY 3 F","29.4","7.35","100%","+0.1%"
"Leon Draisaitl","EDM","F","3","SNYD","LA 5<br/>@EDM 6 F","28.6","7.15","100%","0%"
"Ryan OReilly","STL","F","4","Curt","DAL 2<br/>@STL 3 F","27.8","6.95","99%","+0.6%"
"David Perron","STL","F","5","Morgo","DAL 2<br/>@STL 3 F","27.8","6.95","85%","+8.7%"
"Alexander Radulov","DAL","F","6","evanmann","DAL 2<br/>@STL 3 F","27.4","9.13","94%","+1.6%"
"David Pastrnak","BOS","F","7","Morgo","BOS 1<br/>@ARI 0 F","26.4","8.8","100%","0%"
"Kyle Palmieri","NJ","F","8","Curt","NJ 2<br/>@BUF 7 F","25.4","8.47","84%","+6.3%"
"Brad Marchand","BOS","F","9","ErikErla","BOS 1<br/>@ARI 0 F","24.8","8.27","100%","0%"
"Patrice Bergeron","BOS","F","10","evanmann","BOS 1<br/>@ARI 0 F","24.6","8.2","100%","0%"
"Sergei Bobrovsky","FLA","G","11","Curt","TB 3<br/>@FLA 4 F","24.3","6.08","96%","-0.2%"
"David Rittich","CGY","G","12","Maualpha","VAN 0<br/>@CGY 3 F","23.9","7.97","94%","+1.1%"
"Jordan Binnington","STL","G","13","Maualpha","DAL 2<br/>@STL 3 F","22.8","7.6","99%","+0.1%"
"Jonathan Huberdeau","FLA","F","14","evanmann","TB 3<br/>@FLA 4 F","22.4","5.6","100%","0%"
"Brent Burns","SJ","D","15","ErikErla","SJ 1<br/>@ANA 3 F","22.2","5.55","100%","0%"
"Andrei Svechnikov","CAR","F","16","evanmann","CAR 3<br/>@WSH 2 F","22","7.33","97%","+1.4%"
"Darcy Kuemper","ARI","G","17","Morgo","BOS 1<br/>@ARI 0 F","21.8","10.9","83%","+2.9%"
"John Gibson","ANA","G","18","Curt","SJ 1<br/>@ANA 3 F","20.8","6.93","94%","-0.6%"
"Mike Smith","EDM","G","19","SNYD","LA 5<br/>@EDM 6 F","20.3","6.77","75%","+3%"
"Semyon Varlamov","NYI","G","20","Morgo","","20.1","10.05","79%","+1.8%"
